wavelength	throughput
574.50	1.8150100231651E-6
575.00	9.5000001465451E-7
575.50	9.5000001465451E-7
576.00	9.5000001465451E-7
576.50	9.5000001465451E-7
577.00	9.5000001465451E-7
577.50	9.5000001465451E-7
578.00	9.5000001465451E-7
578.50	9.5000001465451E-7
579.00	9.5000001465451E-7
579.50	9.5000001465451E-7
580.00	9.5000001465451E-7
580.50	9.5000001465451E-7
581.00	9.5000001465451E-7
581.50	9.5000001465451E-7
582.00	9.5000001465451E-7
582.50	9.5000001465451E-7
583.00	9.5000001465451E-7
583.50	9.5000001465451E-7
584.00	9.5000001465451E-7
584.50	9.5000001465451E-7
585.00	9.5000001465451E-7
585.50	9.5000001465451E-7
586.00	9.5000001465451E-7
586.50	9.5000001465451E-7
587.00	9.5000001465451E-7
587.50	9.5000001465451E-7
588.00	9.5000001465451E-7
588.50	9.5000001465451E-7
589.00	9.5000001465451E-7
589.50	9.5000001465451E-7
590.00	9.5000001465451E-7
590.50	9.5000001465451E-7
591.00	9.5000001465451E-7
591.50	9.5000001465451E-7
592.00	9.5000001465451E-7
592.50	9.5000001465451E-7
593.00	9.5000001465451E-7
593.50	9.5000001465451E-7
594.00	9.5000001465451E-7
594.50	9.5000001465451E-7
595.00	9.5000001465451E-7
595.50	9.5000001465451E-7
596.00	9.5000001465451E-7
596.50	9.5000001465451E-7
597.00	9.5000001465451E-7
597.50	9.5000001465451E-7
598.00	9.5000001465451E-7
598.50	9.5000001465451E-7
599.00	9.5000001465451E-7
599.50	9.5000001465451E-7
600.00	9.5000001465451E-7
600.50	9.5000001465451E-7
601.00	9.5000001465451E-7
601.50	9.5000001465451E-7
602.00	9.5000001465451E-7
602.50	9.5000001465451E-7
603.00	9.5000001465451E-7
603.50	9.5000001465451E-7
604.00	9.5000001465451E-7
604.50	9.5000001465451E-7
605.00	9.5000001465451E-7
605.50	9.5000001465451E-7
606.00	9.5000001465451E-7
606.50	9.5000001465451E-7
607.00	9.5000001465451E-7
607.50	9.5000001465451E-7
608.00	9.5000001465451E-7
608.50	9.5000001465451E-7
609.00	9.5000001465451E-7
609.50	9.5000001465451E-7
610.00	9.5000001465451E-7
610.50	9.5000001465451E-7
611.00	9.5000001465451E-7
611.50	9.5000001465451E-7
612.00	9.5000001465451E-7
612.50	9.5000001465451E-7
613.00	9.5000001465451E-7
613.50	9.5000001465451E-7
614.00	9.5000001465451E-7
614.50	9.5000001465451E-7
615.00	9.5000001465451E-7
615.50	9.5000001465451E-7
616.00	9.5000001465451E-7
616.50	9.5000001465451E-7
617.00	9.5000001465451E-7
617.50	9.5000001465451E-7
618.00	9.5000001465451E-7
618.50	9.5000001465451E-7
619.00	9.5000001465451E-7
619.50	9.5000001465451E-7
620.00	9.5000001465451E-7
620.50	9.5000001465451E-7
621.00	9.5000001465451E-7
621.50	9.5000001465451E-7
622.00	9.5000001465451E-7
622.50	9.5000001465451E-7
623.00	9.5000001465451E-7
623.50	9.5000001465451E-7
624.00	9.5000001465451E-7
624.50	9.5000001465451E-7
625.00	9.5000001465451E-7
625.50	9.5000001465451E-7
626.00	9.5000001465451E-7
626.50	9.5000001465451E-7
627.00	9.5000001465451E-7
627.50	9.5000001465451E-7
628.00	1.0676800457077E-6
628.50	9.5000001465451E-7
629.00	9.5000001465451E-7
629.50	9.5000001465451E-7
630.00	9.5000001465451E-7
630.50	9.5000001465451E-7
631.00	9.5000001465451E-7
631.50	9.5000001465451E-7
632.00	9.5000001465451E-7
632.50	9.5000001465451E-7
633.00	9.5000001465451E-7
633.50	9.5000001465451E-7
634.00	9.5000001465451E-7
634.50	9.5000001465451E-7
635.00	9.5000001465451E-7
635.50	9.5000001465451E-7
636.00	9.5000001465451E-7
636.50	9.5000001465451E-7
637.00	9.5000001465451E-7
637.50	9.5000001465451E-7
638.00	9.5000001465451E-7
638.50	9.5000001465451E-7
639.00	9.5000001465451E-7
639.50	1.5814799780856E-6
640.00	9.5000001465451E-7
640.50	1.0190600505666E-6
641.00	2.0058701011294E-6
641.50	2.5572298909537E-6
642.00	4.4554899432114E-6
642.50	7.3518899625924E-6
643.00	6.6371899265505E-6
643.50	5.0983098844881E-6
644.00	4.6259501687018E-6
644.50	3.9172900869744E-6
645.00	3.388010100025E-6
645.50	2.710630042202E-6
646.00	4.6706200009794E-6
646.50	3.073560037592E-6
647.00	3.6088899832976E-6
647.50	4.2065598790941E-6
648.00	5.1778301894956E-6
648.50	5.2397499530343E-6
649.00	8.7589896793361E-6
649.50	1.0951799595205E-5
650.00	1.1623300451902E-5
650.50	1.4859099792375E-5
651.00	1.6878000678844E-5
651.50	2.1212799765635E-5
652.00	2.4749899239396E-5
652.50	3.064850170631E-5
653.00	3.6082699807594E-5
653.50	4.6747500164201E-5
654.00	6.2951003201306E-5
654.50	7.7668701123912E-5
655.00	0.00010605400166241
655.50	0.00013008899986744
656.00	0.00016167899593711
656.50	0.00020170900097582
657.00	0.00024614200810902
657.50	0.00027945399051532
658.00	0.00031563799711876
658.50	0.00035411299904808
659.00	0.00038463898818009
659.50	0.00043084699427709
660.00	0.00049005600158125
660.50	0.00057886599097401
661.00	0.00069661601446569
661.50	0.00088679202599451
662.00	0.0011556099634618
662.50	0.0015798199456185
663.00	0.002269450109452
663.50	0.0033180399332196
664.00	0.0050268098711967
664.50	0.0077679702080786
665.00	0.012171199545264
665.50	0.019804999232292
666.00	0.032542500644922
666.50	0.055724300444126
667.00	0.095506399869919
667.50	0.16740700602531
668.00	0.28746101260185
668.50	0.45331698656082
669.00	0.63430398702621
669.50	0.78397101163864
670.00	0.88357597589493
670.50	0.94278198480606
671.00	0.97503799200058
671.50	0.98466998338699
672.00	0.98484802246094
672.50	0.9862340092659
673.00	0.98674499988556
673.50	0.98400300741196
674.00	0.97542601823807
674.50	0.96065002679825
675.00	0.91826701164246
675.50	0.81208401918411
676.00	0.62762498855591
676.50	0.42522001266479
677.00	0.25959900021553
677.50	0.15637099742889
678.00	0.095006696879864
678.50	0.060308698564768
679.00	0.039197199046612
679.50	0.026661600917578
680.00	0.018355099484324
680.50	0.013015699572861
681.00	0.0092652896419168
681.50	0.0066121099516749
682.00	0.0046180197969079
682.50	0.0031834100373089
683.00	0.002206499921158
683.50	0.0015458799898624
684.00	0.0010947800474241
684.50	0.00078691099770367
685.00	0.0005820450023748
685.50	0.00044857998727821
686.00	0.00034926400985569
686.50	0.00029854700551368
687.00	0.00025642200489528
687.50	0.00022414099657908
688.00	0.00020334799773991
688.50	0.00018900699797086
689.00	0.00018265799735673
689.50	0.00016857699665707
690.00	0.00016388199583162
690.50	0.00015743200492579
691.00	0.00013834099809173
691.50	0.00012977900041733
692.00	0.00010182199912379
692.50	8.701399929123E-5
693.00	7.0856098318473E-5
693.50	5.9909398260061E-5
694.00	4.8807800340001E-5
694.50	4.1066999983741E-5
695.00	3.7362198781921E-5
695.50	3.2709100196371E-5
696.00	3.4418801078573E-5
696.50	2.9219499992905E-5
697.00	2.8738599212375E-5
697.50	2.6489200536162E-5
698.00	2.8494499929366E-5
698.50	2.5971899958677E-5
699.00	2.2309099222184E-5
699.50	1.9970599169028E-5
700.00	1.8735699995887E-5
700.50	1.3571399904322E-5
701.00	1.1706800250977E-5
701.50	9.7803904282046E-6
702.00	8.3184004324721E-6
702.50	8.0676500147092E-6
703.00	7.1748099799152E-6
703.50	5.9932599469903E-6
704.00	6.4081900745805E-6
704.50	5.1632400754897E-6
705.00	6.0423399190768E-6
705.50	5.5738901210134E-6
706.00	7.0197402237682E-6
706.50	8.2973901953665E-6
707.00	9.9034996310365E-6
707.50	8.352240001841E-6
708.00	1.0355899576098E-5
708.50	8.4949897427578E-6
709.00	8.7552398326807E-6
709.50	7.9661103882245E-6
710.00	8.2006599768647E-6
710.50	5.5376399359375E-6
711.00	7.4784597927646E-6
711.50	6.562469934579E-6
712.00	5.8945101955032E-6
712.50	6.7949399635836E-6
713.00	5.3619601203536E-6
713.50	4.9079699238064E-6
714.00	6.9836301008763E-6
714.50	7.3467999754939E-6
715.00	6.9110101321712E-6
715.50	7.1460099206888E-6
716.00	6.3202401179296E-6
716.50	5.4340398492059E-6
717.00	3.2072300655273E-6
717.50	3.6017900129082E-6
718.00	3.427770025155E-6
718.50	1.8767500478134E-6
719.00	2.3904099180072E-6
719.50	1.8894800177804E-6
720.00	1.9225299183745E-6
720.50	2.9258499125717E-6
721.00	1.2838499969803E-6
721.50	2.219419911853E-6
722.00	1.2249799965502E-6
722.50	1.9791300474026E-6
723.00	2.672409891602E-6
723.50	3.8396001400542E-6
724.00	3.1771498925082E-6
724.50	4.9252098506258E-6
725.00	5.2627701734309E-6
725.50	7.7354097811622E-6
726.00	7.5940401984553E-6
726.50	7.1865902100399E-6
727.00	6.5836197791214E-6
727.50	5.6933799896797E-6
728.00	5.1536999308155E-6
728.50	4.3236000237812E-6
729.00	3.8887701521162E-6
729.50	4.3679301597876E-6
730.00	4.0576001083537E-6
730.50	2.8319200282567E-6
731.00	1.8895000266639E-6
731.50	1.4116500324235E-6
732.00	1.6426899946964E-6
732.50	1.6155199773493E-6
733.00	9.5000001465451E-7
733.50	1.0591800219117E-6
734.00	2.1967700831738E-6
734.50	2.8764000035153E-6
735.00	4.93840980198E-6
735.50	4.9841901272885E-6
736.00	5.8386199270899E-6
736.50	1.7105599908973E-5
737.00	2.2660400645691E-5
737.50	1.0912600373558E-5
738.00	3.9709998418402E-6
738.50	1.2354399814285E-6
739.00	9.5000001465451E-7
739.50	9.5000001465451E-7
740.00	9.5000001465451E-7
740.50	9.5000001465451E-7
741.00	9.5000001465451E-7
741.50	1.0466300182088E-6
742.00	9.5000001465451E-7
742.50	9.5000001465451E-7
743.00	9.5000001465451E-7
743.50	9.5000001465451E-7
744.00	9.5000001465451E-7
744.50	9.5000001465451E-7
745.00	9.5379903086723E-7
745.50	9.5000001465451E-7
746.00	9.5000001465451E-7
746.50	9.5902203156584E-7
747.00	9.5000001465451E-7
747.50	9.5000001465451E-7
748.00	1.0311000551155E-6
748.50	9.5000001465451E-7
749.00	9.5000001465451E-7
749.50	9.5000001465451E-7
750.00	9.5000001465451E-7
750.50	9.5000001465451E-7
751.00	9.5000001465451E-7
751.50	9.5000001465451E-7
752.00	9.5000001465451E-7
752.50	9.5000001465451E-7
753.00	1.0378399792899E-6
753.50	9.5000001465451E-7
754.00	9.5000001465451E-7
754.50	9.5000001465451E-7
755.00	9.5000001465451E-7
755.50	9.5000001465451E-7
756.00	9.5000001465451E-7
756.50	1.0926099776043E-6
757.00	9.5000001465451E-7
757.50	9.5000001465451E-7
758.00	9.5000001465451E-7
758.50	9.5000001465451E-7
759.00	9.5000001465451E-7
759.50	9.5000001465451E-7
760.00	9.5000001465451E-7
760.50	9.5000001465451E-7
761.00	9.5000001465451E-7
761.50	1.3415100283964E-6
762.00	9.5000001465451E-7
762.50	9.5000001465451E-7
763.00	9.5000001465451E-7
763.50	9.5000001465451E-7
764.00	1.7997499526246E-6
764.50	9.5000001465451E-7
765.00	9.5000001465451E-7
765.50	9.5000001465451E-7
766.00	9.5000001465451E-7
766.50	9.5000001465451E-7
767.00	9.5000001465451E-7
767.50	9.5000001465451E-7
768.00	1.1988599908364E-6
768.50	9.5000001465451E-7
769.00	1.7609600035939E-6
769.50	2.3341899577645E-6
770.00	1.400509972882E-6
770.50	9.5000001465451E-7
771.00	9.5000001465451E-7
771.50	9.5000001465451E-7
